strategy,phase,date,cash_jpy,market_value_jpy,equity_jpy,capital_utilization,open_positions
S1_V2_FOUNDATION,all,2022-02-09,57482.337493896484,245500.0,302982.3374938965,0.8102782559229069,1
S1_V2_FOUNDATION,all,2022-02-10,57482.337493896484,244350.0,301832.3374938965,0.8095554042645982,1
S1_V2_FOUNDATION,all,2022-02-14,57482.337493896484,237000.0,294482.3374938965,0.8048020876800875,1
S1_V2_FOUNDATION,all,2022-02-15,57482.337493896484,236350.0,293832.3374938965,0.8043702814191086,1
S1_V2_FOUNDATION,all,2022-02-16,57482.337493896484,237700.0,295182.3374938965,0.8052649830544653,1
S1_V2_FOUNDATION,all,2022-02-17,57482.337493896484,237600.0,295082.3374938965,0.8051989896037561,1
S1_V2_FOUNDATION,all,2022-02-18,57482.337493896484,237100.0,294582.3374938965,0.8048683502788504,1
S1_V2_FOUNDATION,all,2022-02-21,57482.337493896484,236800.0,294282.3374938965,0.8046694273825092,1
S1_V2_FOUNDATION,all,2022-02-22,289232.3374938965,0.0,289232.3374938965,0.0,0
S1_V2_FOUNDATION,all,2022-02-24,289232.3374938965,0.0,289232.3374938965,0.0,0
S1_V2_FOUNDATION,all,2022-02-25,289232.3374938965,0.0,289232.3374938965,0.0,0
S1_V2_FOUNDATION,all,2022-02-28,17082.337493896484,269850.0,286932.3374938965,0.9404656246030134,1
S1_V2_FOUNDATION,all,2022-03-01,288882.3374938965,0.0,288882.3374938965,0.0,0
S1_V2_FOUNDATION,all,2022-03-02,288882.3374938965,0.0,288882.3374938965,0.0,0
S1_V2_FOUNDATION,all,2022-03-03,288882.3374938965,0.0,288882.3374938965,0.0,0
S1_V2_FOUNDATION,all,2022-03-04,50248.17611694336,235379.16259765625,285627.3387145996,0.8240778479291452,3
S1_V2_FOUNDATION,all,2022-03-07,281960.67611694336,0.0,281960.67611694336,0.0,0
S1_V2_FOUNDATION,all,2022-03-08,281960.67611694336,0.0,281960.67611694336,0.0,0
S1_V2_FOUNDATION,all,2022-03-09,281960.67611694336,0.0,281960.67611694336,0.0,0
S1_V2_FOUNDATION,all,2022-03-10,163060.67611694336,120330.00183105469,283390.67794799805,0.42460818648782495,2
S1_V2_FOUNDATION,all,2022-03-11,36660.67611694336,247870.00122070312,284530.6773376465,0.8711538718426522,3
S1_V2_FOUNDATION,all,2022-03-14,36660.67611694336,252703.33862304688,289364.01473999023,0.8733060289134948,3
S1_V2_FOUNDATION,all,2022-03-15,36660.67611694336,257816.66259765625,294477.3387145996,0.8755059514020058,3
S1_V2_FOUNDATION,all,2022-03-16,36660.67611694336,260690.00244140625,297350.6785583496,0.8767089542398694,3
S1_V2_FOUNDATION,all,2022-03-17,36660.67611694336,263489.9963378906,300150.672454834,0.877859090512416,3
S1_V2_FOUNDATION,all,2022-03-18,36660.67611694336,264623.3337402344,301284.00985717773,0.878318546894267,3
S1_V2_FOUNDATION,all,2022-03-22,36660.67611694336,274776.66015625,311437.33627319336,0.8822855456072083,3
S1_V2_FOUNDATION,all,2022-03-23,36660.67611694336,277396.6613769531,314057.3374938965,0.8832675701529953,3
S1_V2_FOUNDATION,all,2022-03-24,36660.67611694336,275603.3386230469,312264.01473999023,0.8825971793532814,3
S1_V2_FOUNDATION,all,2022-03-25,36660.67611694336,273270.0012207031,309930.6773376465,0.8817133030138727,3
S1_V2_FOUNDATION,all,2022-03-28,36660.67611694336,274546.6613769531,311207.3374938965,0.8821985483627539,3
S1_V2_FOUNDATION,all,2022-03-29,36660.67611694336,274200.0,310860.67611694336,0.8820671801435833,3
S1_V2_FOUNDATION,all,2022-03-30,36660.67611694336,267709.99755859375,304370.6736755371,0.8795525348278984,3
S1_V2_FOUNDATION,all,2022-03-31,36660.67611694336,261039.99633789062,297700.672454834,0.8768539022278985,3
S1_V2_FOUNDATION,all,2022-04-01,36660.67611694336,262363.3361816406,299024.012298584,0.8773988890218735,3
S1_V2_FOUNDATION,all,2022-04-04,36660.67611694336,262236.6638183594,298897.33993530273,0.8773469308061468,3
S1_V2_FOUNDATION,all,2022-04-05,36660.67611694336,255833.33740234375,292494.0135192871,0.8746617899086473,3
S1_V2_FOUNDATION,all,2022-04-06,164094.0135192871,128729.99877929688,292824.012298584,0.4396155826457111,2
S1_V2_FOUNDATION,all,2022-04-07,164094.0135192871,127350.0,291444.0135192871,0.4369621405573056,2
S1_V2_FOUNDATION,all,2022-04-08,164094.0135192871,126360.00366210938,290454.0171813965,0.4350430573772856,2
S1_V2_FOUNDATION,all,2022-04-11,164094.0135192871,129529.99877929688,293624.012298584,0.4411423907918635,2
S1_V2_FOUNDATION,all,2022-04-12,164094.0135192871,129800.0,293894.0135192871,0.4416558147805952,2
