strategy,phase,code,signal_date,entry_date,entry_price,entry_shares,entry_cost_jpy,initial_stop,exit_date,exit_price,exit_shares,exit_reason,pnl_jpy,trade_return,holding_calendar_days
S1_V2_FOUNDATION,discovery,5401,2022-04-28,2022-05-02,414.20001220703125,100.0,41420.001220703125,412.0,2022-05-06,410.29998779296875,100.0,STOP_GAP_OPEN,-390.00244140625,-0.009415799853026405,4
S1_V2_FOUNDATION,discovery,8001,2022-04-28,2022-05-02,786.4000244140625,100.0,78640.00244140625,772.8000000000001,2022-05-10,754.0,100.0,STOP_GAP_OPEN,-3240.00244140625,-0.041200436683866304,8
S1_V2_FOUNDATION,discovery,8306,2022-03-09,2022-03-10,696.5,100.0,69650.0,673.6,2022-05-12,735.0,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,3850.0,0.05527638190954774,63
S1_V2_FOUNDATION,discovery,8308,2022-03-09,2022-03-10,492.5,100.0,49250.0,479.3,2022-05-12,521.2999877929688,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,2879.998779296875,0.058477132574555835,63
S1_V2_FOUNDATION,discovery,8002,2022-05-12,2022-05-13,1311.0,100.0,131100.0,1312.5,2022-05-16,1312.5,100.0,STOP_INTRADAY,150.0,0.0011441647597254005,3
S1_V2_FOUNDATION,discovery,9434,2022-05-13,2022-05-16,146.6,100.0,14660.0,146.5,2022-05-17,145.6999969482422,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-90.00030517578125,-0.006139174977884123,1
S1_V2_FOUNDATION,discovery,8058,2022-05-12,2022-05-13,1401.6666259765625,100.0,140166.66259765625,1396.0,2022-05-19,1391.6666259765625,100.0,STOP_GAP_OPEN,-1000.0,-0.007134364059665648,6
S1_V2_FOUNDATION,discovery,8306,2022-05-23,2022-05-24,742.2999877929688,100.0,74229.99877929688,740.3000000000001,2022-05-25,735.0,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-729.998779296875,-0.009834282517871674,1
S1_V2_FOUNDATION,discovery,8306,2022-05-26,2022-05-27,745.5,100.0,74550.0,741.7,2022-05-30,736.0,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-950.0,-0.012743125419181758,3
S1_V2_FOUNDATION,discovery,8031,2022-05-20,2022-05-23,1562.5,100.0,156250.0,1552.0,2022-06-20,1552.0,100.0,STOP_INTRADAY,-1050.0,-0.00672,28
S1_V2_FOUNDATION,discovery,8750,2022-06-21,2022-06-22,642.875,100.0,64287.5,638.1,2022-06-23,637.5,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-537.5,-0.008360878864475986,1
S1_V2_FOUNDATION,discovery,8750,2022-06-28,2022-06-29,645.5,100.0,64550.0,642.3000000000001,2022-06-30,628.5,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-1700.0,-0.026336173508907823,1
S1_V2_FOUNDATION,discovery,5802,2022-07-07,2022-07-08,365.0,100.0,36500.0,360.90000000000003,2022-07-14,359.5,100.0,STOP_GAP_OPEN,-550.0,-0.015068493150684932,6
S1_V2_FOUNDATION,discovery,5020,2022-07-19,2022-07-20,508.29998779296875,100.0,50829.998779296875,497.6,2022-07-22,497.3999938964844,100.0,STOP_GAP_OPEN,-1089.9993896484375,-0.02144401762394682,2
S1_V2_FOUNDATION,discovery,9434,2022-06-20,2022-06-21,147.8000030517578,100.0,14780.000305175781,147.70000000000002,2022-08-30,150.6999969482422,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,289.9993896484375,0.01962106790666866,70
S1_V2_FOUNDATION,discovery,4543,2022-06-21,2022-06-22,1997.0,100.0,199700.0,1935.0,2022-09-21,2146.0,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,14900.0,0.07461191787681522,91
S1_V2_FOUNDATION,discovery,7936,2022-09-08,2022-09-09,630.0,100.0,63000.0,624.4000000000001,2022-09-22,624.4000000000001,100.0,STOP_INTRADAY,-559.9999999999927,-0.008888888888888773,13
S1_V2_FOUNDATION,discovery,5802,2022-09-27,2022-09-28,384.40000000000003,100.0,38440.0,384.3,2022-09-29,380.25,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-415.0,-0.010796045785639958,1
S1_V2_FOUNDATION,discovery,1928,2022-09-29,2022-09-30,2382.5,100.0,238250.0,2383.0,2022-10-03,2383.0,100.0,STOP_INTRADAY,50.0,0.0002098635886673662,3
S1_V2_FOUNDATION,discovery,6971,2022-10-03,2022-10-04,1886.0,100.0,188600.0,1872.5,2022-10-05,1872.5,100.0,STOP_INTRADAY,-1350.0,-0.0071580063626723225,1
S1_V2_FOUNDATION,discovery,5802,2022-10-04,2022-10-05,389.375,100.0,38937.5,384.8,2022-10-07,384.8,100.0,STOP_INTRADAY,-457.5,-0.01174959871589085,2
S1_V2_FOUNDATION,discovery,7733,2022-10-12,2022-10-13,2895.0,100.0,289500.0,2877.5,2022-11-14,2856.0,100.0,STOP_GAP_OPEN,-3900.0,-0.013471502590673576,32
S1_V2_FOUNDATION,discovery,9432,2022-11-22,2022-11-24,156.8000030517578,100.0,15680.000305175781,155.20000000000002,2022-11-25,155.20000000000002,100.0,STOP_INTRADAY,-160.00030517577943,-0.010204100896794322,1
S1_V2_FOUNDATION,discovery,8309,2022-12-15,2022-12-16,534.75,100.0,53475.0,533.9,2022-12-19,533.25,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-150.0,-0.002805049088359046,3
S1_V2_FOUNDATION,discovery,5803,2022-12-26,2022-12-27,168.1666717529297,100.0,16816.66717529297,164.60000000000002,2022-12-29,164.60000000000002,100.0,STOP_INTRADAY,-356.6671752929651,-0.021209147542444094,2
S1_V2_FOUNDATION,discovery,8267,2022-11-16,2022-11-17,916.5,100.0,91650.0,909.3000000000001,2023-01-05,916.6666870117188,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,16.668701171875,0.0001818734443194217,49
S1_V2_FOUNDATION,discovery,8766,2023-01-10,2023-01-11,2757.5,100.0,275750.0,2593.5,2023-01-20,2704.5,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-5300.0,-0.019220308250226654,9
S1_V2_FOUNDATION,discovery,8001,2023-01-20,2023-01-23,827.0,100.0,82700.0,816.5,2023-02-02,816.5,100.0,STOP_INTRADAY,-1050.0,-0.012696493349455865,10
S1_V2_FOUNDATION,discovery,8058,2023-01-20,2023-01-23,1446.0,100.0,144600.0,1435.0,2023-02-02,1435.0,100.0,STOP_INTRADAY,-1100.0,-0.007607192254495159,10
S1_V2_FOUNDATION,discovery,9434,2023-01-23,2023-01-24,148.14999389648438,100.0,14814.999389648438,147.5,2023-02-02,147.5,100.0,STOP_INTRADAY,-64.9993896484375,-0.004387404139473268,9
S1_V2_FOUNDATION,discovery,6702,2023-02-08,2023-02-09,1801.5,100.0,180150.0,1803.5,2023-02-10,1803.5,100.0,STOP_INTRADAY,200.0,0.0011101859561476548,1
S1_V2_FOUNDATION,discovery,4689,2023-03-03,2023-03-06,372.0,100.0,37200.0,366.6,2023-03-13,362.20001220703125,100.0,STOP_GAP_OPEN,-979.998779296875,-0.026344053206905242,7
S1_V2_FOUNDATION,discovery,6758,2023-02-24,2023-02-27,2246.0,100.0,224600.0,2237.5,2023-03-16,2212.0,100.0,STOP_GAP_OPEN,-3400.0,-0.015138023152270703,17
S1_V2_FOUNDATION,discovery,8015,2023-03-17,2023-03-20,1771.0,100.0,177100.0,1770.5,2023-03-22,1773.3333740234375,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,233.33740234375,0.0013175460324322417,2
S1_V2_FOUNDATION,discovery,7182,2023-03-20,2023-03-22,1148.0,100.0,114800.0,1134.0,2023-03-23,1127.0,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-2100.0,-0.018292682926829267,1
S1_V2_FOUNDATION,discovery,8053,2023-03-27,2023-03-28,580.75,100.0,58075.0,572.6,2023-03-30,571.25,100.0,STOP_GAP_OPEN,-950.0,-0.016358157554885924,2
S1_V2_FOUNDATION,discovery,8015,2023-03-27,2023-03-28,1803.3333740234375,100.0,180333.33740234375,1773.0,2023-10-05,2671.333251953125,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,86799.98779296875,0.48133079020940156,191
S1_V2_FOUNDATION,discovery,4452,2023-10-05,2023-10-06,2762.0,100.0,276200.0,2741.0,2023-10-10,2729.5,100.0,STOP_GAP_OPEN,-3250.0,-0.011766835626357712,4
S1_V2_FOUNDATION,discovery,4689,2023-10-10,2023-10-11,408.8999938964844,100.0,40889.99938964844,404.20000000000005,2023-10-13,404.20000000000005,100.0,STOP_INTRADAY,-469.9993896484302,-0.011494238118463106,2
S1_V2_FOUNDATION,discovery,8830,2023-10-06,2023-10-10,1890.0,100.0,189000.0,1868.5,2023-10-13,1868.5,100.0,STOP_INTRADAY,-2150.0,-0.011375661375661376,3
S1_V2_FOUNDATION,discovery,8830,2023-10-17,2023-10-18,1884.0,100.0,188400.0,1874.5,2023-10-19,1842.5,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-4150.0,-0.0220276008492569,1
