strategy,description,period,horizon_days,candidate_event_count,n,win_rate,mean_return,median_return,avg_gain,avg_loss,payoff_ratio,mean_max_up,mean_max_down
S2_V2_PLUS_SMA75_SLOPE_GE_0_75PCT,v2 foundation + 75MA 5-session rise >= 0.75%,all,40,207,194,0.711340206185567,0.08057855379877595,0.07167110277189775,0.15063043696561113,-0.0920493011480678,1.6364104353525883,0.17755041547141892,-0.07953281766946255
S2_V2_PLUS_SMA75_SLOPE_GE_0_75PCT,v2 foundation + 75MA 5-session rise >= 0.75%,discovery,5,100,100,0.59,0.009042344816918855,0.0063932855395559,0.03259962105245538,-0.024857150253731256,1.3114786176087068,0.03490881893349286,-0.025288911788075262
S2_V2_PLUS_SMA75_SLOPE_GE_0_75PCT,v2 foundation + 75MA 5-session rise >= 0.75%,discovery,10,100,100,0.63,0.0263708882829626,0.0131920481068216,0.05870963876227176,-0.02869238956018545,2.046174601077468,0.06139807843341103,-0.03221343273499303
S2_V2_PLUS_SMA75_SLOPE_GE_0_75PCT,v2 foundation + 75MA 5-session rise >= 0.75%,discovery,20,100,100,0.7,0.04923491318739335,0.037194102357478095,0.09251267029938763,-0.05174652007392669,1.7878046710623468,0.10220133220956612,-0.04372974777747417
S2_V2_PLUS_SMA75_SLOPE_GE_0_75PCT,v2 foundation + 75MA 5-session rise >= 0.75%,discovery,40,100,100,0.69,0.0632376642081193,0.0567959142800762,0.12528368648534702,-0.07486477247345202,1.6734664695571495,0.14721248066170897,-0.06522337959079509
S2_V2_PLUS_SMA75_SLOPE_GE_0_75PCT,v2 foundation + 75MA 5-session rise >= 0.75%,validation,5,91,91,0.5934065934065934,0.008272853124984646,0.0130594043637521,0.04878026564865515,-0.050846073260912845,0.9593713441418148,0.05061409857587102,-0.04599930994456182
S2_V2_PLUS_SMA75_SLOPE_GE_0_75PCT,v2 foundation + 75MA 5-session rise >= 0.75%,validation,10,91,89,0.6966292134831461,0.037515513510817805,0.0398329765102729,0.06952702449729063,-0.03599240060626796,1.9317140097952434,0.07987169942417316,-0.05731876185357918
S2_V2_PLUS_SMA75_SLOPE_GE_0_75PCT,v2 foundation + 75MA 5-session rise >= 0.75%,validation,20,91,88,0.7159090909090909,0.038426647014647715,0.0373198413227278,0.08482288377373659,-0.0784918696182562,1.0806582157651634,0.1245736408474269,-0.07596774086963681
S2_V2_PLUS_SMA75_SLOPE_GE_0_75PCT,v2 foundation + 75MA 5-session rise >= 0.75%,validation,40,91,78,0.7435897435897436,0.09496268325130193,0.10279886480315101,0.1704438244123472,-0.12393262611572933,1.3752942203708758,0.2123691290996453,-0.0870391273248164
S3_V2_PLUS_RS20_GE_3PCT,v2 foundation + 20-session relative strength vs TOPIX >= +3%,all,5,52,52,0.7692307692307693,0.014905145827078341,0.01879963183279145,0.03144692049801779,-0.04023410307605315,0.7815986462671916,0.04351219998022046,-0.028145145955733482
S3_V2_PLUS_RS20_GE_3PCT,v2 foundation + 20-session relative strength vs TOPIX >= +3%,all,10,52,52,0.8461538461538461,0.03853237661802665,0.041238246768061204,0.05178912652716006,-0.03437974788220716,1.506384709527289,0.06566374410260131,-0.0329749656403449
S3_V2_PLUS_RS20_GE_3PCT,v2 foundation + 20-session relative strength vs TOPIX >= +3%,all,20,52,52,0.7115384615384616,0.041920110107682866,0.041055047647747644,0.07705893829567867,-0.04475566608937342,1.7217694434889708,0.10417879134996078,-0.04523687756354155
S3_V2_PLUS_RS20_GE_3PCT,v2 foundation + 20-session relative strength vs TOPIX >= +3%,all,40,52,51,0.7450980392156863,0.06662478485817871,0.0640232228064101,0.11024918331175826,-0.060892687544592324,1.8105488155867924,0.13807565991229712,-0.05989716237673356
S3_V2_PLUS_RS20_GE_3PCT,v2 foundation + 20-session relative strength vs TOPIX >= +3%,discovery,5,20,20,0.7,0.006298268285168915,0.01397882099782435,0.024702186648227525,-0.03664420789530117,0.6741088992510341,0.03168789480221717,-0.026543147117441757
S3_V2_PLUS_RS20_GE_3PCT,v2 foundation + 20-session relative strength vs TOPIX >= +3%,discovery,10,20,20,0.8,0.023892913435843356,0.022126861111051152,0.03966990158294068,-0.03921503915254597,1.0115991833802664,0.04928944978129202,-0.03220145626587861
S3_V2_PLUS_RS20_GE_3PCT,v2 foundation + 20-session relative strength vs TOPIX >= +3%,discovery,20,20,20,0.75,0.041098799493876695,0.03893711674302555,0.06465569687694803,-0.02957189265533728,2.1863902196087084,0.07802943595287287,-0.03775016112869268
S3_V2_PLUS_RS20_GE_3PCT,v2 foundation + 20-session relative strength vs TOPIX >= +3%,discovery,40,20,20,0.65,0.057431391770810566,0.05062510915574675,0.11303466389459664,-0.045831827887649244,2.4662918566478824,0.11672527510129907,-0.054275440017902896
S3_V2_PLUS_RS20_GE_3PCT,v2 foundation + 20-session relative strength vs TOPIX >= +3%,validation,5,21,21,0.8571428571428571,0.03011770979720585,0.0321684795186298,0.04014315468152754,-0.030034959508724268,1.336547654404766,0.057703114386304426,-0.022241617717452967
S3_V2_PLUS_RS20_GE_3PCT,v2 foundation + 20-session relative strength vs TOPIX >= +3%,validation,10,21,21,0.8571428571428571,0.054854820729551425,0.0458258790540213,0.06884383481512747,-0.029079263783904866,2.3674545314050204,0.08454126249398108,-0.0277423474689055
S3_V2_PLUS_RS20_GE_3PCT,v2 foundation + 20-session relative strength vs TOPIX >= +3%,validation,20,21,21,0.7142857142857143,0.05329256375983582,0.0655706646978031,0.10272634932973529,-0.07029190016491284,1.461425129904406,0.13196095925329943,-0.04460335997838802
S3_V2_PLUS_RS20_GE_3PCT,v2 foundation + 20-session relative strength vs TOPIX >= +3%,validation,40,21,20,0.8,0.0796934730081111,0.058533140855115795,0.11349181223898341,-0.05549988391537832,2.04490179496639,0.15943485383685846,-0.05231329834864414
S4_V2_PLUS_BOTH,v2 foundation + both filters,all,5,10,10,1.0,0.037601374911440916,0.0294545392555386,0.037601374911440916,,,0.07417919610320124,-0.01684143827195365
S4_V2_PLUS_BOTH,v2 foundation + both filters,all,10,10,10,1.0,0.07059814945280038,0.0686338245874246,0.07059814945280038,,,0.10934183457190397,-0.025093414097151222
S4_V2_PLUS_BOTH,v2 foundation + both filters,all,20,10,10,0.8,0.05545683942473913,0.053035274491923946,0.09596175363545169,-0.1065628174181111,0.9005181728532481,0.1474969017618351,-0.05256948653887335
S4_V2_PLUS_BOTH,v2 foundation + both filters,all,40,10,9,0.6666666666666666,0.06358034980135478,0.1269135614257361,0.152069963324699,-0.1133988772453336,1.3410182447900447,0.1859124977033077,-0.06975627540571747
S4_V2_PLUS_BOTH,v2 foundation + both filters,discovery,5,1,1,1.0,0.0478709543225006,0.0478709543225006,0.0478709543225006,,,0.058168756529654,-0.0192039903504237
S4_V2_PLUS_BOTH,v2 foundation + both filters,discovery,10,1,1,1.0,0.0885054228845056,0.0885054228845056,0.0885054228845056,,,0.1388810950861991,-0.0192039903504237
S4_V2_PLUS_BOTH,v2 foundation + both filters,discovery,20,1,1,1.0,0.068188085223166,0.068188085223166,0.068188085223166,,,0.1388810950861991,-0.0192039903504237
S4_V2_PLUS_BOTH,v2 foundation + both filters,discovery,40,1,1,1.0,0.1269135614257361,0.1269135614257361,0.1269135614257361,,,0.1388810950861991,-0.0192039903504237
S4_V2_PLUS_BOTH,v2 foundation + both filters,validation,5,5,5,1.0,0.040286385051142945,0.0321684795186298,0.040286385051142945,,,0.0929459392019637,-0.004926951363050482
S4_V2_PLUS_BOTH,v2 foundation + both filters,validation,10,5,5,1.0,0.08342149000277485,0.0835454755843554,0.08342149000277485,,,0.1329215337511272,-0.02143090301344562
S4_V2_PLUS_BOTH,v2 foundation + both filters,validation,20,5,5,0.8,0.08270190216805744,0.0655706646978031,0.13568793094112713,-0.1292422129242213,1.0498731635049081,0.17547461191984365,-0.05294846867156648
S4_V2_PLUS_BOTH,v2 foundation + both filters,validation,40,5,4,0.75,0.0909469425728509,0.1038355262131046,0.15173393160758736,-0.0914140245313585,1.659853970826291,0.22518482053595607,-0.0375268811105929
