code,event_count,5d_n,5d_win_rate,5d_mean_return,5d_median_return,5d_avg_gain,5d_avg_loss,5d_mean_max_up,5d_mean_max_down,5d_best_max_up,5d_worst_max_down,10d_n,10d_win_rate,10d_mean_return,10d_median_return,10d_avg_gain,10d_avg_loss,10d_mean_max_up,10d_mean_max_down,10d_best_max_up,10d_worst_max_down,20d_n,20d_win_rate,20d_mean_return,20d_median_return,20d_avg_gain,20d_avg_loss,20d_mean_max_up,20d_mean_max_down,20d_best_max_up,20d_worst_max_down,40d_n,40d_win_rate,40d_mean_return,40d_median_return,40d_avg_gain,40d_avg_loss,40d_mean_max_up,40d_mean_max_down,40d_best_max_up,40d_worst_max_down
9022,11,11,0.8181818181818182,0.017556075199581547,0.0117647235205784,0.027689151117840413,-0.028042766432583348,0.034272135663504684,-0.01298288040017349,0.1168385257365374,-0.0327426770743448,11,0.6363636363636364,0.0272815512138106,0.0187969589998606,0.06236628515159397,-0.034116733177310274,0.05540003803375732,-0.023409249861247206,0.1168385257365374,-0.0511083539530918,11,0.6363636363636364,0.036242323038413085,0.0644109783551973,0.07728214792761415,-0.03557737051768878,0.07974449212429903,-0.02964769060623087,0.1335366190540825,-0.0760467153813764,11,0.6363636363636364,0.022844702333085113,0.0319999741667835,0.06031067866024225,-0.04272075623943985,0.08581868471777876,-0.03975755412509166,0.1365914445242979,-0.0929801630485414
6301,11,11,0.45454545454545453,-0.006405057856379056,-0.0091388775500331,0.024157362822694622,-0.031873741755607116,0.029767901942418053,-0.03781892615852702,0.0646830998653382,-0.1789086015158182,11,0.45454545454545453,0.003996490938423281,-0.026341257962919,0.06908824273878181,-0.050246635561875495,0.047905333923729865,-0.05267317476404885,0.115988909426987,-0.1789086015158182,11,0.45454545454545453,0.00760528033304447,-0.0168971096233004,0.07352700214165195,-0.047329487840795104,0.0689597911590188,-0.06103920704514399,0.1751716849215383,-0.1789086015158182,11,0.7272727272727273,0.0362054094296473,0.0244235353599764,0.06545538243277416,-0.041794518578690994,0.10253556163525347,-0.08802379227266428,0.1926897721501823,-0.272806721973367
6920,11,11,0.8181818181818182,0.019246864365584204,0.0538623969097897,0.06063187900402051,-0.16698570150737918,0.08373228176149082,-0.0394522284601662,0.1841004184100418,-0.2643474407267893,11,0.9090909090909091,0.07817213008975063,0.0763554120799725,0.08997782082972502,-0.0398847773099934,0.13362559011487132,-0.05901031997362193,0.2149342007540187,-0.2643474407267893,11,0.8181818181818182,0.09485386437168043,0.0466791193790099,0.15493759991950026,-0.17552294559350878,0.21123268968381728,-0.08581191121957142,0.5063058295135336,-0.2643474407267893,9,0.8888888888888888,0.25174773082019763,0.2808739664637092,0.2856844320252213,-0.0197458788199915,0.4018981137079648,-0.054130873730767214,0.5391487451989405,-0.116301569278072
7936,11,11,0.7272727272727273,0.025723617794903262,0.0151487645618226,0.04823873248494176,-0.0343166880451994,0.07544442001373539,-0.029737743772544234,0.228007217107877,-0.0885505008588533,11,0.45454545454545453,0.01678402421968066,-0.0210360404520859,0.11454011435805715,-0.0646793842289664,0.09236974449336555,-0.06934685595825946,0.2731469612253259,-0.2368891846086045,11,0.7272727272727273,0.0544290231327921,0.0703199998961574,0.10721848675017953,-0.08634287984690775,0.12856977153156934,-0.07450744661684304,0.2731469612253259,-0.2368891846086045,11,0.7272727272727273,0.0889295119324757,0.1305462661422773,0.13577764154059707,-0.03599883368918134,0.1773490031648065,-0.08231096334558291,0.3321857796048975,-0.2368891846086045
8309,11,11,0.5454545454545454,0.01112687592448451,0.0149893755107477,0.041890701499797546,-0.02578971476589114,0.029072342738846114,-0.03402986979381605,0.1036829022318577,-0.0964443188554268,11,0.7272727272727273,0.023148813709401986,0.0151982668290389,0.03767840229953814,-0.015596755864294433,0.04877304611080738,-0.03647400680479112,0.1088435805185232,-0.0964443188554268,11,0.8181818181818182,0.02343232899734815,0.0144848243037241,0.04056695658464199,-0.053673495145474155,0.07689671276093728,-0.05988910237268444,0.1698334183124428,-0.2350885607150462,11,0.7272727272727273,0.062308949080155426,0.0642291381007524,0.09292678241134933,-0.019338606469695,0.10684520854408396,-0.06399902555791938,0.1698334183124428,-0.2350885607150462
6273,10,10,0.5,0.0040988850306395595,0.00789475789736695,0.040524734389541364,-0.032326964328262243,0.0343694449560422,-0.03835220777146493,0.0741256369727498,-0.0877760672210753,10,0.8,0.033671906444637835,0.0470066865413103,0.059904033886246086,-0.07125660332179515,0.059685421748943625,-0.05145579118355838,0.1479912115505335,-0.1081464660800454,10,0.8,0.07309229962210374,0.10580668608875371,0.1163435433167184,-0.09991267515635491,0.13093103601503164,-0.05855921635335907,0.2346202134337727,-0.1245217808658869,9,0.6666666666666666,0.058296087655645104,0.084418258297882,0.11579432586372844,-0.05670038876052153,0.19655438604401299,-0.05304952193928281,0.362209667294413,-0.1245217808658869
4502,10,10,0.7,0.012228047661175056,0.01182883201066825,0.022408080370479342,-0.011525361993868265,0.026131325529637633,-0.01703317124906691,0.0520198533149569,-0.0421631888663954,10,0.7,0.013469898245279291,0.014478758221824,0.027076124585744932,-0.0182779632158072,0.034672974349769195,-0.01942380762942392,0.0647482169194904,-0.0421631888663954,10,0.5,0.009467027154883822,0.0073517494246409494,0.04517151936317772,-0.02623746505341008,0.046373967835059135,-0.029248551999958065,0.1242390455931901,-0.0671641207259486,10,0.9,0.022314545112032392,0.01798206234194035,0.025999339018405714,-0.0108486000453275,0.05423193212673396,-0.03319870334259928,0.1242390455931901,-0.0671641207259486
4307,10,10,0.4,0.00129188212862493,-0.0146798231135496,0.0536155763820383,-0.03359058070698399,0.04208943055749207,-0.03808111267112272,0.1095642362890925,-0.0855101604865572,10,0.5,0.01722562460738757,-0.00025052982358255045,0.06197329344658512,-0.027522044231809983,0.054844691054849605,-0.044608883382022554,0.1308855291576673,-0.0855101604865572,10,0.6,0.04883065065236841,0.0206703843383556,0.10397528659518938,-0.03388630326186305,0.08699642347958039,-0.05283299138223502,0.217005030823205,-0.1153061644374859,10,0.4,0.0391737451238955,-0.0099436186660568,0.16461037005029422,-0.04445067149370364,0.11989658415495512,-0.062349695969404054,0.2817257732556808,-0.1195744783577049
1928,10,10,0.8,0.019681781872281263,0.024227209614164552,0.027826257130359876,-0.012896119160033201,0.029618259991052172,-0.0117388353142223,0.0490611578565634,-0.0288160023056719,10,0.6,0.023139369298676028,0.023330679939680347,0.0461231279013506,-0.011336268605335825,0.04499247516652243,-0.01726909694234195,0.0775109438699848,-0.0357441850230452,10,0.6,0.01831209814822117,0.027543570199091448,0.048229587546853865,-0.026564135949727875,0.056157371981427597,-0.02394456162000829,0.0779030319385913,-0.0659871312846026,10,0.6,0.013807576776037033,0.02723767181576945,0.0537494114169851,-0.046105175185385074,0.0710064794831087,-0.0503899555158692,0.1126961408964835,-0.1749778898601843
2914,10,10,1.0,0.02080222933692754,0.018945262613112898,0.02080222933692754,,0.031472031029533706,-0.01019853646848593,0.0509804268891249,-0.0289806295812278,10,1.0,0.038044135430111606,0.0340865091561869,0.038044135430111606,,0.0487123903700202,-0.01100289778835142,0.1038363262256258,-0.0289806295812278,10,0.9,0.05027901184703696,0.0424748249667026,0.05706831652289062,-0.010824730235646,0.07807964978437447,-0.0128585625868388,0.1424178027429852,-0.0289806295812278,10,1.0,0.08655333532276598,0.06902765899324245,0.08655333532276598,,0.12059441182711342,-0.015041350123208588,0.2159703504043126,-0.029896896707054
