date,equity,cash,holding_code,scheduled_code
2023-02-07,301222.40091007773,301222.40091007773,,
2023-02-08,301222.40091007773,301222.40091007773,,6702
2023-02-09,301222.40091007773,301222.40091007773,,
2023-02-10,301222.40091007773,301222.40091007773,,
2023-02-13,301222.40091007773,301222.40091007773,,
2023-02-14,301222.40091007773,301222.40091007773,,
2023-02-15,301222.40091007773,301222.40091007773,,
2023-02-16,301222.40091007773,301222.40091007773,,
2023-02-17,301222.40091007773,301222.40091007773,,
2023-02-20,301222.40091007773,301222.40091007773,,
2023-02-21,301222.40091007773,301222.40091007773,,
2023-02-22,301222.40091007773,301222.40091007773,,
2023-02-24,301222.40091007773,301222.40091007773,,6758
2023-02-27,301222.40091007773,301222.40091007773,,
2023-02-28,301222.40091007773,301222.40091007773,,
2023-03-01,301222.40091007773,301222.40091007773,,6981
2023-03-02,301222.40091007773,301222.40091007773,,
2023-03-03,301222.40091007773,301222.40091007773,,4689
2023-03-06,302873.60091007774,152273.60091007774,4689,
2023-03-07,302113.603351484,152273.60091007774,4689,
2023-03-08,301193.59602726524,152273.60091007774,4689,
2023-03-09,303233.5984686715,152273.60091007774,4689,
2023-03-10,300353.60579289024,152273.60091007774,4689,
2023-03-13,297008.72578800743,297008.72578800743,,
2023-03-14,297008.72578800743,297008.72578800743,,
2023-03-15,297008.72578800743,297008.72578800743,,8031
2023-03-16,297008.72578800743,297008.72578800743,,
2023-03-17,297008.72578800743,297008.72578800743,,8015
2023-03-20,297008.72578800743,297008.72578800743,,7182
2023-03-22,297008.72578800743,297008.72578800743,,9101
2023-03-23,297008.72578800743,297008.72578800743,,
2023-03-24,297008.72578800743,297008.72578800743,,
2023-03-27,297008.72578800743,297008.72578800743,,8053
2023-03-28,297008.72578800743,297008.72578800743,,3382
2023-03-29,297008.72578800743,297008.72578800743,,
2023-03-30,297008.72578800743,297008.72578800743,,
2023-03-31,297008.72578800743,297008.72578800743,,5020
2023-04-03,298546.3084601266,154456.31212223595,5020,
2023-04-04,299566.3157843453,154456.31212223595,5020,
2023-04-05,295576.31029118126,154456.31212223595,5020,
2023-04-06,294056.57565002434,294056.57565002434,,
2023-04-07,294056.57565002434,294056.57565002434,,8035
2023-04-10,294056.57565002434,294056.57565002434,,9101
2023-04-11,294056.57565002434,294056.57565002434,,6954
