code,signal_date,entry_date,exit_date,entry_price,exit_price,entry_shares,exit_shares,initial_risk_jpy,pnl_jpy,R_multiple,holding_sessions,exit_reason,regime,entry_year
7182,2022-08-22,2022-08-23,2022-08-29,1017.0,1000.0,200,200.0,2671.4285714285716,-3803.4,-1.4237326203208556,5,TRAIL_GAP_OPEN,UP,2022
8604,2022-09-02,2022-09-05,2022-09-07,501.0,495.4000026157924,500,500.0,2799.998692103795,-3298.198693411716,-1.1779286550071906,3,TRAIL_STOP,RANGE,2022
5802,2022-09-27,2022-09-28,2022-09-29,1530.0,1500.75,100,100.0,2925.0,-3228.0750000000116,-1.1036153846153887,2,TRAIL_STOP,DOWN,2022
8411,2022-10-31,2022-11-01,2022-12-02,1606.0,1647.7142857142858,100,100.0,2132.142857142863,3846.057142857148,1.8038458961474013,22,TRAIL_STOP,UP,2022
2914,2023-01-24,2023-01-25,2023-01-30,2670.0,2639.714285714286,100,100.0,3028.5714285714284,-3559.542857142864,-1.1753207547169833,4,TRAIL_STOP,UP,2023
4689,2023-03-03,2023-03-06,2023-03-13,372.0,362.20001220703125,400,400.0,2842.8571428571427,-4213.675122070313,-1.4821972791202105,6,TRAIL_GAP_OPEN,UP,2023
5020,2023-03-31,2023-04-03,2023-04-06,474.70001220703125,465.80001177106584,300,300.0,2670.0001307896205,-2952.150137983059,-1.105674154821107,4,TRAIL_STOP,UP,2023
9434,2023-04-14,2023-04-17,2023-05-11,1521.9999694824219,1516.4999389648438,100,100.0,1660.7131958007812,-853.8530426025391,-0.5141484060953816,16,TRAIL_GAP_OPEN,UP,2023
5020,2023-05-22,2023-05-23,2023-06-01,471.20001220703125,462.1285836356027,300,300.0,2721.4285714285716,-3001.4271501813664,-1.1028866168645441,8,TRAIL_STOP,UP,2023
2503,2023-06-14,2023-06-15,2023-06-29,2130.0,2131.285714285714,100,100.0,2417.8571428571427,-297.557142857142,-0.12306646971934974,11,TRAIL_STOP,UP,2023
9432,2023-07-21,2023-07-24,2023-07-25,166.10000610351562,163.5214364188058,1100,1100.0,2836.426653180804,-3199.010239955387,-1.12783111679196,2,TRAIL_STOP,UP,2023
5020,2023-10-10,2023-10-11,2023-11-08,551.2999877929688,542.7357264927456,100,100.0,1941.4289202008927,-965.8297014508877,-0.49748393639410027,20,TRAIL_STOP,UP,2023
9434,2023-12-27,2023-12-28,2024-02-09,1750.0,1929.2142704554967,100,100.0,2203.570774623326,17553.505618504132,7.965936842443689,28,TRAIL_STOP,UP,2023
8604,2024-06-14,2024-06-17,2024-06-20,912.0,884.5714242117746,100,100.0,2742.857578822545,-2922.5147212437178,-1.0654999894301096,4,TRAIL_STOP,UP,2024
4689,2024-08-08,2024-08-09,2024-10-24,385.0,411.5714569091797,100,100.0,1554.2855398995537,2577.4885452270537,1.6583108309645762,51,TRAIL_STOP,DOWN,2024
3407,2024-10-25,2024-10-28,2024-11-21,1030.0,1077.0357142857142,100,100.0,1657.1428571428573,4492.867857142846,2.7112133620689587,18,TRAIL_STOP,DOWN,2024
3407,2024-12-10,2024-12-11,2024-12-20,1081.0,1060.3214285714287,100,100.0,2067.8571428571427,-2281.989285714278,-1.1035526770293573,8,TRAIL_STOP,UP,2024
4689,2025-01-07,2025-01-08,2025-02-26,420.0,472.00713675362726,300,300.0,2792.141287667411,15334.538885062095,5.492035432731543,33,TRAIL_STOP,UP,2025
8604,2025-03-18,2025-03-19,2025-03-31,964.0,916.4000244140625,100,100.0,2716.429356166295,-4948.037561035153,-1.8215226358834282,8,TRAIL_GAP_OPEN,UP,2025
9432,2025-06-27,2025-06-30,2025-07-14,152.8000030517578,151.10000501360213,1800,1800.0,3059.996468680246,-3607.0164831978736,-1.178764916926049,11,TRAIL_STOP,UP,2025
9434,2025-07-15,2025-07-16,2025-07-29,217.0,214.24285670689173,1100,1100.0,3032.857622419085,-3507.2247647966897,-1.1564093015349786,9,TRAIL_STOP,UP,2025
6178,2025-10-09,2025-10-10,2025-10-10,1461.0,1433.9285714285713,100,100.0,2707.1428571428573,-2996.635714285739,-1.1069366754617505,1,INITIAL_STOP_INTRADAY,UP,2025
6178,2025-10-22,2025-10-23,2025-11-05,1444.5,1417.4285714285713,100,100.0,2707.1428571428573,-2993.3357142857158,-1.1057176781002642,9,TRAIL_STOP,UP,2025
