entry,exit,n,win_rate,total_pnl_jpy,ending_equity,expectancy_jpy,expectancy_R,profit_factor,max_drawdown,max_losing_streak,avg_gain_R,avg_loss_R,avg_win_loss_R_ratio,avg_holding_sessions,largest_winner_R
near52w_high,trail_2ATR,21,0.38095238095238093,29785.375372096663,329785.37537209666,1418.3512081950785,0.7003836317556403,1.9217434081621199,-0.04479280471132829,3,3.710014292151934,-1.1516967746420788,3.221346428885261,9.333333333333334,7.287163227837668
golden25_75,trail_4ATR,38,0.2894736842105263,28956.43940549629,328956.4394054963,762.0115633025335,0.4422840192139279,1.391220162952169,-0.1094733456234459,8,4.356268229423523,-1.1523021405010923,3.780491310663667,16.86842105263158,10.203761245674755
reversal10_bottom10,sma75_break,22,0.4090909090909091,23995.360914284945,323995.36091428495,1090.698223376592,0.571430221703769,1.9435855752986173,-0.06808768784766583,3,2.4967414046195535,-0.761477520314851,3.2788117022643246,10.409090909090908,13.068747089521706
reversal5_bottom10,sma75_break,22,0.5454545454545454,23463.40904442937,323463.40904442937,1066.5185929286076,0.45242761973760326,2.305278821607221,-0.05807445498439712,3,1.4076500282641913,-0.6938392704943024,2.028784025529945,10.727272727272727,11.530340242290302
near52w_high,sma75_break,15,0.3333333333333333,22726.796916634892,322726.7969166349,1515.119794442326,0.5591467304991281,1.9376645018094407,-0.11855182433139355,3,3.9853134106403325,-1.1539366095714738,3.453667539086328,28.2,10.386357905150712
breakout20_vol15,trail_4ATR,45,0.17777777777777778,21009.050267846673,321009.0502678467,466.86778372992717,0.25410009394809985,1.2165146793625743,-0.16820917189051865,15,6.811254710562702,-1.1636630664010035,5.853287697467845,12.88888888888889,17.30090032046454
golden25_75,fixed_3d_1p5R,79,0.5316455696202531,20328.84973256383,320328.84973256383,257.32721180460493,0.09867609697278448,1.276224510553434,-0.06467178258796535,3,0.9052591883394796,-0.8169047094434642,1.1081576319424196,2.5443037974683542,1.4779456521739192
near52w_high,trail_3ATR,19,0.42105263157894735,17758.993352508754,317758.99335250875,934.683860658354,0.45256199958780075,1.6479223957663718,-0.05651756285919751,3,2.8187391661959196,-1.2682941215817403,2.222464898505212,11.631578947368421,6.416327753636815
reversal20_bottom10,fixed_3d_1p5R,15,0.8,14449.426908711146,314449.42690871115,963.2951272474078,0.35505025107800087,4.388576802445121,-0.014264380327306703,2,0.6268293626666581,-0.7320661952766283,0.8562468349324558,2.7333333333333334,1.4488234925356676
near52w_high,sma20_break,19,0.42105263157894735,12722.249434117053,312722.24943411705,669.5920754798441,0.40249322087246103,1.488268962666404,-0.0372663846692578,3,2.5159388318785982,-1.134558132586548,2.217549510788663,10.578947368421053,5.618269866534541
sma25_reclaim_uptrend,sma75_break,36,0.1388888888888889,12227.158584159217,312227.1585841592,339.6432940044235,0.053194029849711146,1.1255584621015975,-0.20769200128121434,12,7.683236568907508,-1.1774579925789657,6.5252744618761716,18.63888888888889,19.97760127304624
breakout100,sma75_break,29,0.1724137931034483,12097.8627329148,312097.8627329148,417.1676804453435,0.11406622093328489,1.178290325114903,-0.17746046175280772,16,5.796813915208784,-1.0698395487074441,5.418395611016963,19.0,13.409341772151867
reversal20_bottom10,trail_3ATR,10,0.3,11139.130763789639,311139.13076378964,1113.9130763789653,0.585967421787446,1.8329101336024618,-0.04344438686731089,5,3.702529466175147,-0.7497020258072834,4.938668082413466,20.1,5.038438354292983
reversal5_bottom10,fixed_3d_1p5R,22,0.5,9159.004596846586,309159.0045968466,416.3183907657572,0.13145441426237836,1.5802880687520455,-0.020369155845348597,3,0.9216921617053573,-0.6587833331806006,1.3990823921659266,2.6818181818181817,1.4476981594623288
breakout20_vol15,sma75_break,43,0.16279069767441862,9003.00586395309,309003.0058639531,209.37222939425791,0.2964014301257479,1.0918599523605967,-0.2281915031418834,19,7.491310266782122,-1.102608621446325,6.794169863242629,16.232558139534884,17.90145857501533
ma75_reclaim,trail_2ATR,40,0.375,8934.806015015114,308934.8060150151,223.37015037537694,0.20003960254759523,1.1422633038861774,-0.09021278554919121,6,2.1346449109018,-0.9607235824649278,2.2219137219729146,7.675,8.366924369307286
golden25_75,trail_2ATR,49,0.40816326530612246,7342.7572765903315,307342.75727659033,149.8521893181681,0.1389239699421278,1.1175450297398277,-0.08231848986843127,5,1.6918082067415028,-0.9320306761264068,1.8151851114737891,8.204081632653061,9.994479357798108
breakout100,trail_2ATR,41,0.2682926829268293,6856.082996259967,306856.08299625997,167.22153649414946,0.1693416133543092,1.0911897202061864,-0.10407233839205055,8,3.310554901463277,-0.9824365922856457,3.369739001436467,6.536585365853658,10.847216216216324
reversal5_bottom10,sma20_break,25,0.6,6571.752067566034,306571.75206756603,262.870082702642,0.1081034491288243,1.5482726192033311,-0.020863909396916847,2,0.5036099824691012,-0.4851563508815909,1.038036462995852,1.92,1.2634738184910703
reversal5_bottom10,trail_3ATR,18,0.3888888888888889,6361.153108433471,306361.1531084335,353.397394912973,0.20626793426368933,1.241158450725159,-0.048134677900285916,5,2.0793508319724188,-0.9856939097327746,2.109529957972591,15.0,5.827780005498527
ma75_reclaim,trail_3ATR,39,0.2564102564102564,6211.629799979681,306211.6297999797,159.27255897383236,0.22689490039366036,1.0803823536635724,-0.11995713218546933,6,3.8108173473136033,-1.0089404261304578,3.777048920449202,11.794871794871796,11.694302547770693
momentum20_top10,fixed_3d_1p5R,1,1.0,4282.7785714285565,304282.77857142856,4282.7785714285565,1.4553131067961163,INF,-0.007753591521332148,0,1.4553131067961163,,,3.0,1.4553131067961163
ma75_reclaim,fixed_3d_1p5R,48,0.4791666666666667,2494.206515694037,302494.20651569404,51.96263574362956,0.06356632921477177,1.0439380598633266,-0.038030017330276444,3,1.1048290742476081,-0.8943953962154376,1.2352803680817273,2.6666666666666665,1.4733009554140115
reversal5_bottom10,trail_2ATR,19,0.42105263157894735,1677.0919703894178,301677.0919703894,88.26799844154907,0.07133385606305219,1.0760794979916755,-0.04261210165743101,4,1.3188030778333175,-0.8359164870425956,1.577673246401845,8.631578947368421,3.116204663457108
momentum60_top10,sma20_break,1,1.0,1110.0362213135231,301110.0362213135,1110.0362213134867,0.5726053498648576,INF,-0.0017910558778440056,0,0.5726053498648576,,,1.0,0.5726053498648576
momentum60_top10,fixed_3d_1p5R,1,1.0,260.4612213135115,300260.4612213135,260.4612213134824,0.13435731725939368,INF,-0.004607479316746876,0,0.13435731725939368,,,3.0,0.13435731725939368
breakout100,trail_4ATR,34,0.20588235294117646,-626.466224452015,299373.533775548,-18.42547718976172,-0.010519156416704839,0.9905746287440192,-0.09897620551455977,7,4.01981751908084,-1.055421257471624,3.8087327601404852,10.5,10.909773826458126
reversal10_bottom10,trail_2ATR,17,0.23529411764705882,-942.801235089777,299057.1987649102,-55.45889618175159,-0.028693212998532166,0.9567964747578408,-0.04258978729490104,5,2.3796325552325337,-0.7697165263003986,3.091570044195505,6.823529411764706,8.139289411560554
breakout100,trail_3ATR,36,0.25,-1114.8895991729223,298885.1104008271,-30.969155532577943,0.045907297396753914,0.9839990061691349,-0.11615706032625961,7,3.3536224904228495,-1.0566644336119446,3.173781934686043,8.75,10.909773826458126
momentum60_top10,trail_2ATR,1,0.0,-1447.2573159353924,298552.7426840646,-1447.2573159353924,-0.7465587751317385,0.0,-0.010268731725723845,1,,-0.7465587751317385,,8.0,-0.7465587751317385
reversal10_bottom10,trail_4ATR,17,0.17647058823529413,-1498.068720299867,298501.93127970013,-88.12168942939452,-0.027608629409610924,0.9561561728897987,-0.07314027396676837,7,4.656549677588564,-1.0313568380520768,4.51497435784048,16.823529411764707,8.192161778978074
reversal20_bottom10,sma20_break,16,0.625,-1732.7596340723103,298267.2403659277,-108.29747712952121,-0.037666886937396574,0.8145604685578505,-0.0179468360127375,2,0.3517533553928093,-0.6867006241544065,0.5122368365777349,1.6875,1.3526305687417213
momentum20_top10,trail_2ATR,1,0.0,-1807.0321428570896,298192.9678571429,-1807.0321428571187,-0.6140400485436832,0.0,-0.018247405653826765,1,,-0.6140400485436832,,9.0,-0.6140400485436832
breakout20_vol15,sma20_break,47,0.19148936170212766,-1973.782184164389,298026.2178158356,-41.99536562052077,0.03254029260146007,0.9786508226203257,-0.13900009837611915,9,4.951742363045658,-1.1325338819774289,4.3722686286434165,9.893617021276595,13.894104095563204
momentum20_top10,sma20_break,1,0.0,-2328.1999999999534,297671.80000000005,-2328.1999999999825,-0.7911359223300938,0.0,-0.020577124131254343,1,,-0.7911359223300938,,9.0,-0.7911359223300938
momentum60_top10,sma75_break,1,0.0,-2328.2462188720237,297671.753781128,-2328.24621887206,-1.2010114761401705,0.0,-0.013189295296502146,1,,-1.2010114761401705,,13.0,-1.2010114761401705
momentum60_top10,trail_3ATR,1,0.0,-2328.2462188720237,297671.753781128,-2328.24621887206,-1.2010114761401705,0.0,-0.013189295296502146,1,,-1.2010114761401705,,13.0,-1.2010114761401705
momentum60_top10,trail_4ATR,1,0.0,-2328.2462188720237,297671.753781128,-2328.24621887206,-1.2010114761401705,0.0,-0.013189295296502146,1,,-1.2010114761401705,,13.0,-1.2010114761401705
breakout100,sma20_break,36,0.25,-2839.7324301580084,297160.267569842,-78.88145639327033,0.006430915950114285,0.9598110251639282,-0.11944046216525095,7,3.2437818195075265,-1.0726860519023567,3.0239806080771134,8.88888888888889,13.497384068278915
near52w_high,fixed_3d_1p5R,28,0.4642857142857143,-3334.337524904171,296665.6624750958,-119.08348303229546,-0.06884055255468614,0.8867692472077581,-0.04812615747833193,3,0.9675493384802493,-0.9670451247849637,1.0005213962434252,2.4642857142857144,1.4428083596214611
