code,asof,snapshot_generated_jst,open,high,low,close,adj_close,volume,sma25,sma75,sma75_5,prev_adj_close,fresh_75_cross_up,sma75_rising_5d,sma25_above_sma75,price_le_sma25,v2_foundation,lot_cost_100_shares_jpy,affordable_with_300k
4503,2026-09-07,2026-09-07T14:27:09.498596+09:00,2349.0,2357.5,2297.5,2310.5,2310.5,1660100,2340.78,2227.1866666666665,2222.22,2355.5,False,True,True,True,False,231050.0,True
4507,2026-09-07,2026-09-07T14:27:09.498596+09:00,2941.5,3005.0,2927.5,2936.5,2936.5,1691100,2879.34,2866.44,2871.82,2909.0,False,False,True,False,False,293650.0,True
4519,2026-09-07,2026-09-07T14:27:09.498596+09:00,6597.0,6720.0,6586.0,6619.0,6619.0,1983600,6909.08,7248.601477864583,7316.406380208334,6795.0,False,False,False,True,False,661900.0,False
4543,2026-09-07,2026-09-07T14:27:09.498596+09:00,2419.0,2428.0,2364.0,2372.5,2372.5,2114700,2502.18,2343.2066666666665,2328.326666666667,2432.0,False,True,True,True,False,237250.0,True
4568,2026-09-07,2026-09-07T14:27:09.498596+09:00,2775.0,2788.0,2729.0,2744.5,2744.5,2629300,2773.82,2689.7266666666665,2676.0466666666666,2794.0,False,True,True,True,False,274450.0,True
4578,2026-09-07,2026-09-07T14:27:09.498596+09:00,11850.0,12025.0,11780.0,11790.0,11790.0,445700,12165.6,11346.7034765625,11286.3724609375,12030.0,False,True,True,True,False,1179000.0,False
4661,2026-09-07,2026-09-07T14:27:09.498596+09:00,3113.0,3153.0,3102.0,3107.0,3107.0,2792500,2996.9,2641.766666666667,2581.9666666666667,3136.0,False,True,True,False,False,310700.0,False
4689,2026-09-07,2026-09-07T14:27:09.498596+09:00,527.5,531.0999755859375,517.5999755859375,521.2999877929688,521.2999877929688,8036200,512.5919970703125,455.04666625976563,447.0306665039063,531.0999755859375,False,True,True,False,False,52129.998779296875,True
4901,2026-09-07,2026-09-07T14:27:09.498596+09:00,3300.0,3309.0,3234.0,3250.0,3250.0,1944700,3358.2,3455.8933333333334,3443.5866666666666,3313.0,False,True,False,True,False,325000.0,False
5020,2026-09-07,2026-09-07T14:27:09.498596+09:00,1360.0,1377.5,1356.5,1366.0,1366.0,3017800,1318.44,1281.4133333333334,1280.18,1345.5,False,True,True,False,False,136600.0,True
5108,2026-09-07,2026-09-07T14:27:09.498596+09:00,3980.0,4002.0,3915.0,3919.0,3919.0,1133600,4084.28,3704.4166569010417,3654.2945833333333,3961.0,False,True,True,True,False,391900.0,False
5401,2026-09-07,2026-09-07T14:27:09.498596+09:00,700.0,716.0,697.0,699.0999755859375,699.0999755859375,37653500,678.5880004882813,605.0146638997396,595.1239982096354,691.9000244140625,False,True,True,False,False,69909.99755859375,True
5802,2026-09-07,2026-09-07T14:27:09.498596+09:00,2188.5,2214.5,2162.0,2199.0,2199.0,10097500,2222.1,2595.116666666667,2632.64,2133.0,False,False,False,True,False,219900.0,True
5803,2026-09-07,2026-09-07T14:27:09.498596+09:00,5300.0,5362.0,5175.0,5232.0,5232.0,27056700,5283.48,5066.586666666667,5057.7733333333335,5053.0,True,True,True,True,True,523200.0,False
6098,2026-09-07,2026-09-07T14:27:09.498596+09:00,16235.0,16320.0,16010.0,16100.0,16100.0,1702700,15826.6,12928.173333333334,12440.04,16235.0,False,True,True,False,False,1610000.0,False
6146,2026-09-07,2026-09-07T14:27:09.498596+09:00,56530.0,57710.0,56310.0,56780.0,56780.0,902400,60365.6,68060.53333333334,68593.2,54460.0,False,False,False,True,False,5678000.0,False
6178,2026-09-07,2026-09-07T14:27:09.498596+09:00,2510.0,2532.0,2475.0,2494.0,2494.0,1482600,2405.18,2306.3866666666668,2275.9666666666667,2512.5,False,True,True,False,False,249400.0,True
6273,2026-09-07,2026-09-07T14:27:09.498596+09:00,68850.0,69550.0,68320.0,68790.0,68790.0,113600,72504.8,70559.33333333333,70453.6,67140.0,False,True,True,True,False,6879000.0,False
6301,2026-09-07,2026-09-07T14:27:09.498596+09:00,7540.0,7633.0,7509.0,7541.0,7541.0,1059700,7305.0,6811.306666666666,6731.986666666667,7493.0,False,True,True,False,False,754100.0,False
6326,2026-09-07,2026-09-07T14:27:09.498596+09:00,3032.0,3060.0,2915.0,2933.5,2933.5,2925000,2777.16,2767.5225162760416,2752.263310546875,3006.0,False,True,True,False,False,293350.0,True
6367,2026-09-07,2026-09-07T14:27:09.498596+09:00,20480.0,20795.0,20470.0,20710.0,20710.0,595300,21367.2,23189.066666666666,23411.2,20500.0,False,False,False,True,False,2071000.0,False
6501,2026-09-07,2026-09-07T14:27:09.498596+09:00,5418.0,5445.0,5350.0,5352.0,5352.0,4355400,5443.48,5051.066666666667,5019.573333333334,5377.0,False,True,True,True,False,535200.0,False
6503,2026-09-07,2026-09-07T14:27:09.498596+09:00,5300.0,5400.0,5285.0,5356.0,5356.0,3413900,5680.04,5813.2,5865.08,5248.0,False,False,False,True,False,535600.0,False
6701,2026-09-07,2026-09-07T14:27:09.498596+09:00,4758.0,4780.0,4618.0,4629.0,4629.0,4462400,4780.76,4378.293333333333,4335.12,4828.0,False,True,True,True,False,462900.0,False
6702,2026-09-07,2026-09-07T14:27:09.498596+09:00,3860.0,3868.0,3801.0,3832.0,3832.0,2725700,3715.6,3492.48,3452.84,3900.0,False,True,True,False,False,383200.0,False
6723,2026-09-07,2026-09-07T14:27:09.498596+09:00,3401.0,3468.0,3361.0,3411.0,3411.0,8455100,3565.04,4128.16,4149.653333333334,3302.0,False,False,False,True,False,341100.0,False
6752,2026-09-07,2026-09-07T14:27:09.498596+09:00,4233.0,4410.0,4231.0,4405.0,4405.0,4935400,4410.6,4179.88,4114.573333333334,4163.0,True,True,True,True,True,440500.0,False
6758,2026-09-07,2026-09-07T14:27:09.498596+09:00,3835.0,3856.0,3759.0,3770.0,3770.0,9771200,3792.68,3549.4666666666667,3529.9466666666667,3885.0,False,True,True,True,False,377000.0,False
6762,2026-09-07,2026-09-07T14:27:09.498596+09:00,3000.0,3012.0,2946.0,2956.5,2956.5,5146200,3055.54,3375.2733333333335,3380.346666666667,2907.5,False,False,False,True,False,295650.0,True
6857,2026-09-07,2026-09-07T14:27:09.498596+09:00,34000.0,34850.0,33520.0,34330.0,34330.0,7560800,34266.0,30680.533333333333,30207.866666666665,33090.0,False,True,True,False,False,3433000.0,False
6861,2026-09-07,2026-09-07T14:27:09.498596+09:00,77660.0,78870.0,77660.0,78510.0,78510.0,297800,82682.8,78623.33333333333,78414.93333333333,77720.0,False,True,True,True,False,7851000.0,False
6902,2026-09-07,2026-09-07T14:27:09.498596+09:00,1935.0,1942.5,1920.0,1923.0,1923.0,2376600,1927.08,1929.32,1924.6266666666668,1916.5,False,True,False,True,False,192300.0,True
6920,2026-09-07,2026-09-07T14:27:09.498596+09:00,34610.0,36430.0,34600.0,35480.0,35480.0,2766500,37078.0,42030.500260416666,42268.57630208333,33180.0,False,False,False,True,False,3548000.0,False
6954,2026-09-07,2026-09-07T14:27:09.498596+09:00,6050.0,6084.0,5978.0,6012.0,6012.0,2331300,6183.4,6916.293333333333,7041.986666666667,5931.0,False,False,False,True,False,601200.0,False
6971,2026-09-07,2026-09-07T14:27:09.498596+09:00,3538.0,3570.0,3522.0,3546.0,3546.0,1285800,3685.68,3639.2266666666665,3596.1133333333332,3503.0,False,True,True,True,False,354600.0,False
6981,2026-09-07,2026-09-07T14:27:09.498596+09:00,7431.0,7636.0,7325.0,7584.0,7584.0,15861500,7390.68,8754.893333333333,8694.986666666666,7191.0,False,True,False,False,False,758400.0,False
7011,2026-09-07,2026-09-07T14:27:09.498596+09:00,3796.0,3863.0,3785.0,3827.0,3827.0,7395800,4000.76,3851.786666666667,3869.5733333333333,3754.0,False,False,True,True,False,382700.0,False
7182,2026-09-07,2026-09-07T14:27:09.498596+09:00,3384.0,3408.0,3326.0,3350.0,3350.0,2588100,3246.52,3208.6066666666666,3183.96,3377.0,False,True,True,False,False,335000.0,False
7203,2026-09-07,2026-09-07T14:27:09.498596+09:00,3110.0,3120.0,3088.0,3101.0,3101.0,7952600,3048.82,2934.3133333333335,2924.2,3081.0,False,True,True,False,False,310100.0,False
7267,2026-09-07,2026-09-07T14:27:09.498596+09:00,1704.0,1714.0,1687.5,1695.5,1695.5,4792300,1681.7,1551.76,1529.1866666666667,1696.5,False,True,True,False,False,169550.0,True
7269,2026-09-07,2026-09-07T14:27:09.498596+09:00,2067.0,2074.0,2041.5,2050.0,2050.0,2196600,2069.92,2004.6933333333334,1982.7266666666667,2067.0,False,True,True,True,False,205000.0,True
7270,2026-09-07,2026-09-07T14:27:09.498596+09:00,2640.0,2661.0,2637.5,2648.5,2648.5,1458400,2607.2,2544.8,2531.3333333333335,2637.5,False,True,True,False,False,264850.0,True
7309,2026-09-07,2026-09-07T14:27:09.498596+09:00,19015.0,19015.0,18755.0,18770.0,18770.0,171300,19760.8,18100.9593359375,17943.200065104167,19255.0,False,True,True,True,False,1877000.0,False
7733,2026-09-07,2026-09-07T14:27:09.498596+09:00,2064.5,2064.5,1990.0,2013.0,2013.0,2286700,2058.44,1856.8466666666666,1839.5466666666666,2061.0,False,True,True,True,False,201300.0,True
7741,2026-09-07,2026-09-07T14:27:09.498596+09:00,24135.0,24290.0,23855.0,23985.0,23985.0,687800,25285.0,25645.533333333333,25829.666666666668,24140.0,False,False,False,True,False,2398500.0,False
7751,2026-09-07,2026-09-07T14:27:09.498596+09:00,4617.0,4617.0,4501.0,4517.0,4517.0,2077700,4587.24,4394.193883463542,4359.529186197917,4615.0,False,True,True,True,False,451700.0,False
7832,2026-09-07,2026-09-07T14:27:09.498596+09:00,5500.0,5520.0,5327.0,5342.0,5342.0,2140800,5358.48,4387.533333333334,4266.306666666666,5565.0,False,True,True,True,False,534200.0,False
7936,2026-09-07,2026-09-07T14:27:09.498596+09:00,4197.0,4326.0,4093.0,4145.0,4145.0,5101900,4698.76,4626.227740885417,4639.2286328125,4266.0,False,False,True,True,False,414500.0,False
7974,2026-09-07,2026-09-07T14:27:09.498596+09:00,8705.0,8831.0,8556.0,8740.0,8740.0,4995900,8535.64,7635.44,7532.346666666666,8839.0,False,True,True,False,False,874000.0,False
8001,2026-09-07,2026-09-07T14:27:09.498596+09:00,2238.5,2277.0,2230.5,2256.0,2256.0,10066700,2085.22,1960.34,1946.1933333333334,2204.0,False,True,True,False,False,225600.0,True
8002,2026-09-07,2026-09-07T14:27:09.498596+09:00,5125.0,5186.0,5100.0,5141.0,5141.0,2192200,4975.12,4995.12,5023.373333333333,5073.0,False,False,False,False,False,514100.0,False
8015,2026-09-07,2026-09-07T14:27:09.498596+09:00,7689.0,7798.0,7643.0,7671.0,7671.0,906300,7361.28,6683.626666666667,6642.346666666666,7588.0,False,True,True,False,False,767100.0,False
8031,2026-09-07,2026-09-07T14:27:09.498596+09:00,5050.0,5130.0,5034.0,5081.0,5081.0,3428700,4923.48,4872.306666666666,4921.106666666667,5019.0,False,False,True,False,False,508100.0,False
8035,2026-09-07,2026-09-07T14:27:09.498596+09:00,55320.0,56710.0,55170.0,55710.0,55710.0,2163400,55929.6,62195.6,61811.46666666667,53320.0,False,True,False,True,False,5571000.0,False
8053,2026-09-07,2026-09-07T14:27:09.498596+09:00,1834.0,1883.0,1830.0,1862.0,1862.0,5524300,1763.76,1672.6366666666668,1670.8666666666666,1820.0,False,True,True,False,False,186200.0,True
8058,2026-09-07,2026-09-07T14:27:09.498596+09:00,4928.0,5045.0,4918.0,4977.0,4977.0,5032400,4802.8,4733.973333333333,4773.453333333333,4902.0,False,False,True,False,False,497700.0,False
8113,2026-09-07,2026-09-07T14:27:09.498596+09:00,973.4000244140625,974.0999755859375,963.0,966.5,966.5,1283600,990.4080029296875,957.9169539388021,955.0254117838541,968.9000244140625,False,True,True,True,False,96650.0,True
8267,2026-09-07,2026-09-07T14:27:09.498596+09:00,1400.0,1404.0,1370.0,1389.5,1389.5,5530800,1366.035107421875,1367.7695198567708,1374.2404833984374,1409.0,False,False,False,False,False,138950.0,True
8306,2026-09-07,2026-09-07T14:27:09.498596+09:00,3760.0,3795.0,3707.0,3723.0,3723.0,29782000,3607.12,3424.3866666666668,3377.4933333333333,3785.0,False,True,True,False,False,372300.0,False
8308,2026-09-07,2026-09-07T14:27:09.498596+09:00,2553.0,2596.5,2530.0,2547.5,2547.5,4332900,2414.96,2269.26,2237.1066666666666,2550.0,False,True,True,False,False,254750.0,True
8309,2026-09-07,2026-09-07T14:27:09.498596+09:00,1800.5,1808.0,1774.5,1786.5,1786.5,3633800,1727.26,1607.75,1582.1233333333332,1801.0,False,True,True,False,False,178650.0,True
8316,2026-09-07,2026-09-07T14:27:09.498596+09:00,7000.0,7094.0,6952.0,6980.0,6980.0,8096500,6803.24,6614.48,6536.573333333334,7083.0,False,True,True,False,False,698000.0,False
8411,2026-09-07,2026-09-07T14:27:09.498596+09:00,8774.0,8854.0,8677.0,8704.0,8704.0,5777500,8431.96,8080.906666666667,7961.32,8774.0,False,True,True,False,False,870400.0,False
8591,2026-09-07,2026-09-07T14:27:09.498596+09:00,6245.0,6285.0,6173.0,6209.0,6209.0,1249800,6294.4,6310.493333333333,6287.933333333333,6242.0,False,True,False,True,False,620900.0,False
8604,2026-09-07,2026-09-07T14:27:09.498596+09:00,1669.5,1678.0,1653.0,1663.5,1663.5,3357200,1579.22,1489.2533333333333,1464.2466666666667,1669.0,False,True,True,False,False,166350.0,True
8630,2026-09-07,2026-09-07T14:27:09.498596+09:00,6832.0,6873.0,6754.0,6784.0,6784.0,1129500,6855.12,6545.866666666667,6494.786666666667,6856.0,False,True,True,True,False,678400.0,False
8697,2026-09-07,2026-09-07T14:27:09.498596+09:00,2242.0,2252.0,2213.5,2227.0,2227.0,1425000,2236.8,2158.2,2132.5133333333333,2239.0,False,True,True,True,False,222700.0,True
8725,2026-09-07,2026-09-07T14:27:09.498596+09:00,5231.0,5249.0,5121.0,5157.0,5157.0,1965600,4966.28,4666.786666666667,4615.506666666667,5240.0,False,True,True,False,False,515700.0,False
