strategy,phase,date,cash_jpy,market_value_jpy,equity_jpy,capital_utilization,open_positions
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-05-11,100430.00122070312,195600.0,296030.0012207031,0.6607438408047426,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-05-12,294680.0012207031,0.0,294680.0012207031,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-05-13,294680.0012207031,0.0,294680.0012207031,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-05-16,294680.0012207031,0.0,294680.0012207031,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-05-17,294680.0012207031,0.0,294680.0012207031,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-05-18,294680.0012207031,0.0,294680.0012207031,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-05-19,294680.0012207031,0.0,294680.0012207031,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-05-20,294680.0012207031,0.0,294680.0012207031,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-05-23,294680.0012207031,0.0,294680.0012207031,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-05-24,294680.0012207031,0.0,294680.0012207031,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-05-25,294680.0012207031,0.0,294680.0012207031,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-05-26,294680.0012207031,0.0,294680.0012207031,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-05-27,294680.0012207031,0.0,294680.0012207031,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-05-30,294680.0012207031,0.0,294680.0012207031,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-05-31,294680.0012207031,0.0,294680.0012207031,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-06-01,294680.0012207031,0.0,294680.0012207031,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-06-02,294680.0012207031,0.0,294680.0012207031,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-06-03,294680.0012207031,0.0,294680.0012207031,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-06-06,294680.0012207031,0.0,294680.0012207031,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-06-07,294680.0012207031,0.0,294680.0012207031,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-06-08,294680.0012207031,0.0,294680.0012207031,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-06-09,294680.0012207031,0.0,294680.0012207031,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-06-10,294680.0012207031,0.0,294680.0012207031,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-06-13,294680.0012207031,0.0,294680.0012207031,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-06-14,294680.0012207031,0.0,294680.0012207031,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-06-15,294680.0012207031,0.0,294680.0012207031,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-06-16,294680.0012207031,0.0,294680.0012207031,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-06-17,294680.0012207031,0.0,294680.0012207031,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-06-20,294680.0012207031,0.0,294680.0012207031,0.0,0
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-06-21,146879.9981689453,148800.0030517578,295680.0012207031,0.5032467614902696,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-06-22,146879.9981689453,149949.9969482422,296829.9951171875,0.5051713082063772,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-06-23,146879.9981689453,151149.99389648438,298029.9920654297,0.5071637013743933,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-06-24,146879.9981689453,151699.9969482422,298579.9951171875,0.5080715367039328,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-06-27,146879.9981689453,151850.00610351562,298730.00427246094,0.5083185616836087,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-06-28,146879.9981689453,151899.99389648438,298779.9920654297,0.5084008231154242,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-06-29,146879.9981689453,151250.0,298129.9981689453,0.5073290206585959,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-06-30,146879.9981689453,150649.99389648438,297529.9920654297,0.5063354885693507,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-07-01,146879.9981689453,150649.99389648438,297529.9920654297,0.5063354885693507,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-07-04,146879.9981689453,152500.0,299379.9981689453,0.5093860676488534,1
S3_V2_PLUS_RS20_GE_3PCT,discovery,2022-07-05,146879.9981689453,152800.0030517578,299680.0012207031,0.5098772104556497,1
