strategy,phase,code,signal_date,entry_date,entry_price,entry_shares,entry_cost_jpy,initial_stop,exit_date,exit_price,exit_shares,exit_reason,pnl_jpy,trade_return,holding_calendar_days
S1_V2_FOUNDATION,discovery,8308,2022-03-09,2022-03-10,492.5,100.0,49250.0,479.3,2022-05-12,521.2999877929688,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,2879.998779296875,0.058477132574555835,63
S1_V2_FOUNDATION,discovery,8002,2022-05-12,2022-05-13,1311.0,100.0,131100.0,1312.5,2022-05-16,1312.5,100.0,STOP_INTRADAY,150.0,0.0011441647597254005,3
S1_V2_FOUNDATION,discovery,9434,2022-05-13,2022-05-16,1465.5,100.0,146550.0,1465.5,2022-05-17,1456.9999694824219,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-850.0030517578125,-0.005800089060101075,1
S1_V2_FOUNDATION,discovery,8306,2022-05-23,2022-05-24,742.2999877929688,100.0,74229.99877929688,740.3000000000001,2022-05-25,735.0,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-729.998779296875,-0.009834282517871674,1
S1_V2_FOUNDATION,discovery,8306,2022-05-26,2022-05-27,745.5,100.0,74550.0,741.7,2022-05-30,736.0,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-950.0,-0.012743125419181758,3
S1_V2_FOUNDATION,discovery,5020,2022-07-19,2022-07-20,508.29998779296875,100.0,50829.998779296875,497.6,2022-07-22,497.3999938964844,100.0,STOP_GAP_OPEN,-1089.9993896484375,-0.02144401762394682,2
S1_V2_FOUNDATION,discovery,6178,2022-08-10,2022-08-12,958.5,100.0,95850.0,949.7,2022-08-29,949.7,100.0,STOP_INTRADAY,-880.0,-0.009181011997913406,17
S1_V2_FOUNDATION,discovery,9434,2022-06-20,2022-06-21,1478.0000305175781,100.0,147800.0030517578,1477.0,2022-08-30,1506.9999694824219,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,2899.993896484375,0.01962106790666866,70
S1_V2_FOUNDATION,discovery,8697,2022-08-30,2022-08-31,2084.5,100.0,208450.0,2086.5,2022-09-01,2052.0,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-3250.0,-0.015591268889421923,1
S1_V2_FOUNDATION,discovery,7936,2022-09-08,2022-09-09,2520.0,100.0,252000.0,2497.5,2022-09-22,2497.5,100.0,STOP_INTRADAY,-2250.0,-0.008928571428571428,13
